nt_seq_ID	tip_labels	original_metaspades_contig_node_IDs	original_sample_ID	read_map_consensus_sample_ID	orf_id	contig_id	Location	Country	Year	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment	cluster_on_SKA_plot	host_taxon	host_genus
Aeriandims_virus_subsp1_F1156C2F1142	Aeriandims_virus_subsp1_F1156C2F1142	C2	F1156	F1142	F1156_NODE_2_length_7200_cov_572.252624_5	F1156_NODE_2_length_7200_cov_572.252624	Cambodia:Sihanuokville	Cambodia	2019	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	cluster dominated by vishnui	cluster9	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	Culex
Aeriandims_virus_subsp1_F1156C2F1142	Aeriandims_virus_subsp1_F1156C2F1142	C2	F1156	F1142	F1156_NODE_2_length_7200_cov_572.252624_5	F1156_NODE_2_length_7200_cov_572.252624	Cambodia:Sihanuokville	Cambodia	2019	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	cluster dominated by vishnui	cluster9	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	Culex
Aeriandims_virus_subsp1_F1156C2F1142	Aeriandims_virus_subsp1_F1156C2F1142	C2	F1156	F1142	F1156_NODE_2_length_7200_cov_572.252624_5	F1156_NODE_2_length_7200_cov_572.252624	Cambodia:Sihanuokville	Cambodia	2019	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	cluster dominated by vishnui	cluster9	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	Culex
Aeriandims_virus_subsp1_F1156C2F1156	Aeriandims_virus_subsp1_F1156C2F1156	C2	F1156	F1156	F1156_NODE_2_length_7200_cov_572.252624_5	F1156_NODE_2_length_7200_cov_572.252624	Cambodia:Sihanuokville	Cambodia	2019	Culex tritaeniorhynchus	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	cluster dominated by vishnui	cluster9	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	Culex
Aeriandims_virus_subsp1_F1156C2F1156	Aeriandims_virus_subsp1_F1156C2F1156	C2	F1156	F1156	F1156_NODE_2_length_7200_cov_572.252624_5	F1156_NODE_2_length_7200_cov_572.252624	Cambodia:Sihanuokville	Cambodia	2019	Culex tritaeniorhynchus	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	cluster dominated by vishnui	cluster9	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	Culex
Aeriandims_virus_subsp1_F1156C2F1156	Aeriandims_virus_subsp1_F1156C2F1156	C2	F1156	F1156	F1156_NODE_2_length_7200_cov_572.252624_5	F1156_NODE_2_length_7200_cov_572.252624	Cambodia:Sihanuokville	Cambodia	2019	Culex tritaeniorhynchus	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	cluster dominated by vishnui	cluster9	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	Culex
Aeriandims_virus_subsp1_F1156C2F1583	Aeriandims_virus_subsp1_F1156C2F1583	C2	F1156	F1583	F1156_NODE_2_length_7200_cov_572.252624_5	F1156_NODE_2_length_7200_cov_572.252624	Cambodia:Preah Vihear	Cambodia	2019	Culex sinensis	internally divergent	Culex sinensis	_	cluster12	Culex sinensis	Culex
Aeriandims_virus_subsp1_F1156C2F1583	Aeriandims_virus_subsp1_F1156C2F1583	C2	F1156	F1583	F1156_NODE_2_length_7200_cov_572.252624_5	F1156_NODE_2_length_7200_cov_572.252624	Cambodia:Preah Vihear	Cambodia	2019	Culex sinensis	internally divergent	Culex sinensis	_	cluster12	Culex sinensis	Culex
Aeriandims_virus_subsp1_F1156C2F1583	Aeriandims_virus_subsp1_F1156C2F1583	C2	F1156	F1583	F1156_NODE_2_length_7200_cov_572.252624_5	F1156_NODE_2_length_7200_cov_572.252624	Cambodia:Preah Vihear	Cambodia	2019	Culex sinensis	internally divergent	Culex sinensis	_	cluster12	Culex sinensis	Culex
Adlissaust_virus_F1183C2F1183	Adlissaust_virus_F1183C2F1183	C2	F1183	F1183	F1183_NODE_2_length_5307_cov_3.704303_2	F1183_NODE_2_length_5307_cov_3.704303	Cambodia:Pursat	Cambodia	2019	Aedes caecus	mixed custer, internally divergent	Culicidae sp Aedes caecus or Culex brevipalpis or Culex quinquefasciatus or Culex vishnui.g	_	cluster4	Culicidae sp Aedes caecus or Culex brevipalpis or Culex quinquefasciatus or Culex vishnui.g	Culicidae
