sample_id	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment	cluster_on_SKA_plot
F1546	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2
F1023	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2
F1389	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2
F1386	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2
F1230	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2
F1247	Culex brevipalpis	mixed custer, internally divergent	Culicidae sp Coquillettidia crassipes or Culex brevipalpis	_	cluster3
F1228	Coquillettidia crassipes	mixed custer, internally divergent	Culicidae sp Coquillettidia crassipes or Culex brevipalpis	_	cluster3
F1246	Culex brevipalpis	mixed custer, internally divergent	Culicidae sp Coquillettidia crassipes or Culex brevipalpis	_	cluster3
F1227	Coquillettidia crassipes	mixed custer, internally divergent	Culicidae sp Coquillettidia crassipes or Culex brevipalpis	_	cluster3
F1415	Culex brevipalpis	mixed custer, internally divergent	Culicidae sp Aedes caecus or Culex brevipalpis or Culex quinquefasciatus or Culex vishnui.g	_	cluster4
F1287	Culex quinquefasciatus	mixed custer, internally divergent	Culicidae sp Aedes caecus or Culex brevipalpis or Culex quinquefasciatus or Culex vishnui.g	_	cluster4
F1183	Aedes caecus	mixed custer, internally divergent	Culicidae sp Aedes caecus or Culex brevipalpis or Culex quinquefasciatus or Culex vishnui.g	_	cluster4
F1050	Culex vishnui.g	mixed custer, internally divergent	Culicidae sp Aedes caecus or Culex brevipalpis or Culex quinquefasciatus or Culex vishnui.g	_	cluster4
F1285	Culex infantulus	mixed custer, internally divergent	Culex sp brevipalpis or cinctellus or infantulus or quinquefasciatus	_	cluster5
F1253	Culex cinctellus	mixed custer, internally divergent	Culex sp brevipalpis or cinctellus or infantulus or quinquefasciatus	_	cluster5
F1254	Culex cinctellus	mixed custer, internally divergent	Culex sp brevipalpis or cinctellus or infantulus or quinquefasciatus	_	cluster5
F1249	Culex cinctellus	mixed custer, internally divergent	Culex sp brevipalpis or cinctellus or infantulus or quinquefasciatus	_	cluster5
F1278	Culex infantulus	mixed custer, internally divergent	Culex sp brevipalpis or cinctellus or infantulus or quinquefasciatus	_	cluster5
F1277	Culex infantulus	mixed custer, internally divergent	Culex sp brevipalpis or cinctellus or infantulus or quinquefasciatus	_	cluster5
F1568	Culex quinquefasciatus	mixed custer, internally divergent	Culex sp brevipalpis or cinctellus or infantulus or quinquefasciatus	_	cluster5
F1282	Culex infantulus	mixed custer, internally divergent	Culex sp brevipalpis or cinctellus or infantulus or quinquefasciatus	_	cluster5
F1284	Culex infantulus	mixed custer, internally divergent	Culex sp brevipalpis or cinctellus or infantulus or quinquefasciatus	_	cluster5
