sample_id	ref_id	total_reads	mapped_reads	average_cov	norm_average_cov	percentage_covered	norm_average_cov_LFC	contig_kmer_cov	contig_len	selected	RPKM	RPKM_LFC
F1045	F1156_NODE_2_length_7200_cov_572.252624	9681716	75764	771.958194444444	79.7336127649731	99.7361111111111	-0.373660987741121	572.252624	7200	yes	1086.87114740587	-0.365847249792029
F1046	F1156_NODE_2_length_7200_cov_572.252624	8598492	6	0.0622222222222222	0.00723641101512012	5.91666666666667	-13.8012870542526	572.252624	7200	no	0.0969162189525016	-13.818930516693
F1111	F1156_NODE_2_length_7200_cov_572.252624	21663693	119	1.22555555555556	0.0565718668352416	15.5	-10.8345485323568	572.252624	7200	no	0.762925221372818	-10.8421988857443
F1141	F1156_NODE_2_length_7200_cov_572.252624	6915167	28	0.289722222222222	0.0418966341987435	20.4444444444444	-11.2677989636696	572.252624	7200	no	0.562370928842194	-11.2822185252358
F1142	F1156_NODE_2_length_7200_cov_572.252624	11188225	598115	6064.66944444444	542.058230366697	99.9722222222222	2.39152690819999	572.252624	7200	yes	7424.90679064622	2.40634475153977
F1156	F1156_NODE_2_length_7200_cov_572.252624	21083968	212615	2178.09569444444	103.305776903306	100	0	572.252624	7200	yes	1400.58366200855	0
F1183	F1156_NODE_2_length_7200_cov_572.252624	10061256	2	0.005	0.000496955847262012	0.5	-17.6653718226871	572.252624	7200	no	0.0276086581812229	-15.6305478652334
F1235	F1156_NODE_2_length_7200_cov_572.252624	20195228	1	0.00333333333333333	0.000165055493967849	0.333333333333333	-19.2555383416069	572.252624	7200	no	0.00687731224866037	-17.6357518834321
F1239	F1156_NODE_2_length_7200_cov_572.252624	18875839	1	0.00347222222222222	0.000183950616564499	0.347222222222222	-19.0991709899728	572.252624	7200	no	0.00735802466257997	-17.5382782208515
F1385	F1156_NODE_2_length_7200_cov_572.252624	11332745	2	0.0208333333333333	0.0018383307251097	2.08333333333333	-15.7781650688192	572.252624	7200	no	0.024511076334796	-15.8022348004191
F1435	F1156_NODE_2_length_7200_cov_572.252624	18099504	1	0.00347222222222222	0.000191840738962914	0.347222222222222	-19.0385803808282	572.252624	7200	no	0.00767362955851657	-17.477687611707
F1443	F1156_NODE_2_length_7200_cov_572.252624	12384243	1	0.00319444444444444	0.000257944263887946	0.319444444444444	-18.6114301374192	572.252624	7200	no	0.0112149679951281	-16.9302431345802
F1472	F1156_NODE_2_length_7200_cov_572.252624	23382623	1	0.00375	0.000160375506203902	0.375	-19.2970356829111	572.252624	7200	no	0.00593983356310748	-17.8471742261786
F1502	F1156_NODE_2_length_7200_cov_572.252624	10260848	2	0.01	0.000974578319452739	0.5	-16.6937113733299	572.252624	7200	no	0.0270716199847983	-15.6588874158762
F1541	F1156_NODE_2_length_7200_cov_572.252624	16177007	2	0.00944444444444444	0.000583819024399535	0.472222222222222	-17.4329682784611	572.252624	7200	no	0.0171711477764569	-16.3156821608154
F1566	F1156_NODE_2_length_7200_cov_572.252624	9399466	1	0.00388888888888889	0.000413735087598475	0.388888888888889	-17.9297821886234	572.252624	7200	no	0.014776253128517	-16.532388151785
F1583	F1156_NODE_2_length_7200_cov_572.252624	10264389	32441	305.786527777778	29.7910112114591	86.6111111111111	-1.79397193292018	572.252624	7200	yes	438.963726379081	-1.67385453028646
F1009	F1156_NODE_65_length_2243_cov_7.962523	14472776	2	0.0650913954525189	0.004497505900217	6.50913954525189	-8.28589691215012	7.962523	2243	no	0.0616096698659863	-8.25971162701512
F1018	F1156_NODE_65_length_2243_cov_7.962523	10750628	2	0.0668747213553277	0.00622054091680297	6.46455639768168	-7.81798204868014	7.962523	2243	no	0.0829405455573729	-7.830790895161
F1101	F1156_NODE_65_length_2243_cov_7.962523	25559028	2	0.0664288898796255	0.00259903819032655	6.64288898796255	-9.07704425332042	7.962523	2243	no	0.0348864186621013	-9.08020292976757
F1156	F1156_NODE_65_length_2243_cov_7.962523	21083968	893	29.5956308515381	1.40370308148533	100	0	7.962523	2243	yes	18.8829497275869	0
F1260	F1156_NODE_65_length_2243_cov_7.962523	7317899	2	0.0668747213553277	0.0091385138487601	6.68747213553277	-7.26306252026965	7.962523	2243	no	0.121846851316801	-7.27587136675051
F1009	F1157_NODE_12_length_1742_cov_6.048014	14472776	219	9.15843857634902	0.632804555003755	95.9816303099885	-1.25090328794856	6.048014	1742	yes	8.6864859938462	-1.22873242369021
F1056	F1157_NODE_12_length_1742_cov_6.048014	12412381	1	0.0154994259471871	0.00124870691184771	1.54994259471871	-10.2360845653371	6.048014	1742	no	0.0462484041425076	-8.7819577002646
F1142	F1157_NODE_12_length_1742_cov_6.048014	11188225	1	0.0166475315729047	0.00148795108901588	1.66475315729047	-9.98319235839549	6.048014	1742	no	0.0513086582419269	-8.63215898628706
F1157	F1157_NODE_12_length_1742_cov_6.048014	15029676	533	22.6349024110218	1.50601399597848	100	0	6.048014	1742	yes	20.3577342088899	0
F1184	F1157_NODE_12_length_1742_cov_6.048014	18715315	208	8.86107921928818	0.473466742039243	31.0562571756602	-1.66940018318546	6.048014	1742	no	6.37996128168972	-1.67395742634961
F1226	F1157_NODE_12_length_1742_cov_6.048014	9816663	8	0.318599311136625	0.0324549504385171	28.8748564867968	-5.53615281431857	6.048014	1742	no	0.467819105420066	-5.44348240832003
F1250	F1157_NODE_12_length_1742_cov_6.048014	20733072	1	0.0143513203214696	0.000692194592362848	1.43513203214696	-11.0872698863824	6.048014	1742	no	0.0276877836945139	-9.52211170892113
F1257	F1157_NODE_12_length_1742_cov_6.048014	17043560	36	1.53788748564868	0.090232761562061	56.8886337543054	-4.06094002744848	6.048014	1742	no	1.21253430990451	-4.06947952461254
F1260	F1157_NODE_12_length_1742_cov_6.048014	7317899	6	0.246842709529277	0.0337313632682381	15.6142365097589	-5.48050074067332	6.048014	1742	no	0.470670185138207	-5.43471672230562
F1305	F1157_NODE_12_length_1742_cov_6.048014	8737468	72	2.8398392652124	0.325018559748934	11.4810562571757	-2.2121411688314	6.048014	1742	no	4.73040960216763	-2.1055399843117
F1359	F1157_NODE_12_length_1742_cov_6.048014	9713658	1	0.0143513203214696	0.00147743726631817	1.43513203214696	-9.99342258904858	6.048014	1742	no	0.0590974906527266	-8.42826441158731
F1454	F1157_NODE_12_length_1742_cov_6.048014	11368677	7760	324.297933409874	28.5255648840999	95.8668197474168	4.24344837338386	6.048014	1742	yes	391.835376076227	4.26659874907878
F1497	F1157_NODE_12_length_1742_cov_6.048014	11172373	22	0.936854190585534	0.083854539280557	34.3283582089552	-4.16670248435955	6.048014	1742	no	1.13039207363496	-4.17068184045774
F1543	F1157_NODE_12_length_1742_cov_6.048014	13267888	2	0.0855338691159587	0.00644668308294121	8.55338691159587	-7.86796239950191	6.048014	1742	no	0.0865326588314256	-7.87811655272807
F1017	F1161_NODE_1_length_11153_cov_400.498018	9184351	12	0.0722675513314803	0.00786855286034694	5.81906213574823	-14.0312782487682	400.498018	11153	no	0.117149670377374	-13.9796533316656
