sample	refs
F1112	Culex_quinquefasciatus_12S_NC_014574,Culex_quinquefasciatus_16S_NC_014574,Culex_quinquefasciatus_18S_AAWU01003351,Culex_quinquefasciatus_28S_AAWU01040617,Culex_quinquefasciatus_5p8S_GU562872
F1113	Culex_quinquefasciatus_12S_NC_014574,Culex_quinquefasciatus_16S_NC_014574,Culex_quinquefasciatus_18S_AAWU01003351,Culex_quinquefasciatus_28S_AAWU01040617,Culex_quinquefasciatus_5p8S_GU562872
F1114	Culex_quinquefasciatus_12S_NC_014574,Culex_quinquefasciatus_16S_NC_014574,Culex_quinquefasciatus_18S_AAWU01003351,Culex_quinquefasciatus_28S_AAWU01040617,Culex_quinquefasciatus_5p8S_GU562872
F1115	Culex_quinquefasciatus_12S_NC_014574,Culex_quinquefasciatus_16S_NC_014574,Culex_quinquefasciatus_18S_AAWU01003351,Culex_quinquefasciatus_28S_AAWU01040617,Culex_quinquefasciatus_5p8S_GU562872
F1116	Culex_quinquefasciatus_12S_NC_014574,Culex_quinquefasciatus_16S_NC_014574,Culex_quinquefasciatus_18S_AAWU01003351,Culex_quinquefasciatus_28S_AAWU01040617,Culex_quinquefasciatus_5p8S_GU562872
F1117	Culex_quinquefasciatus_12S_NC_014574,Culex_quinquefasciatus_16S_NC_014574,Culex_quinquefasciatus_18S_AAWU01003351,Culex_quinquefasciatus_28S_AAWU01040617,Culex_quinquefasciatus_5p8S_GU562872
F1118	Culex_quinquefasciatus_12S_NC_014574,Culex_quinquefasciatus_16S_NC_014574,Culex_quinquefasciatus_18S_AAWU01003351,Culex_quinquefasciatus_28S_AAWU01040617,Culex_quinquefasciatus_5p8S_GU562872
F1119	Culex_quinquefasciatus_12S_NC_014574,Culex_quinquefasciatus_16S_NC_014574,Culex_quinquefasciatus_18S_AAWU01003351,Culex_quinquefasciatus_28S_AAWU01040617,Culex_quinquefasciatus_5p8S_GU562872
F1120	Culex_quinquefasciatus_12S_NC_014574,Culex_quinquefasciatus_16S_NC_014574,Culex_quinquefasciatus_18S_AAWU01003351,Culex_quinquefasciatus_28S_AAWU01040617,Culex_quinquefasciatus_5p8S_GU562872
F1121	Culex_quinquefasciatus_12S_NC_014574,Culex_quinquefasciatus_16S_NC_014574,Culex_quinquefasciatus_18S_AAWU01003351,Culex_quinquefasciatus_28S_AAWU01040617,Culex_quinquefasciatus_5p8S_GU562872
