Sample	Batch	site	season	village	commune	district	city	elevation_m	trapping.method	trip	month	genus	subgenus	species	genus_species	sex	blood_meal	number	old_eppendorf	old_box	new_eppendorf	new_box	Location	datetime_setup	datetime_collect	lat	long	id	latlong_provided	seq_priority	LibPool_prep_by.x	LibPool_seq_date	Lib_Kit	LibPool_V_in_5ul_by_Qubit	LibPool_V_in_5ul_by_Bioanalyzer	LibPool_V_in_5ul_by_qPCR	LibPool_V_in_5ul_chosen	LibPool_final_C_in_5_ul	Run_CD	Run_PF	Run_EY	Demultiplexed_and_trimmed	NTC	LibPool	LibPool_prep_by.y
F1124	1.3	masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Culex	Culex	quinquefasciatus	Culex quinquefasciatus	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Sihanuokville	2019-10-09 08:00:00	2019-10-10 07:50:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1124	masked, available in supplementary info or upon request	high	Artem	2020-07-03	NEBNext	3.53	4.67	2.21	2.25	4	184.895233	92.90611	24.0688419	1	0	1	Artem
F1346	1.2	masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	Stegomyia	albopictus	Aedes albopictus	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Kompong Thom	2019-10-14 16:10:00	2019-10-15 16:00:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1346	masked, available in supplementary info or upon request	high	Artem	2020-07-29	NEBNext	4.85	5.47	4.19	4.25	4	179.908432	90.9295349	22.9214325	1	0	2	Artem
F1423	1.2	masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Culex	Culex	quinquefasciatus	Culex quinquefasciatus	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Kompong Thom	2019-10-14 15:06:00	2019-10-15 15:05:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1423	masked, available in supplementary info or upon request	high	Artem	2020-07-29	NEBNext	4.85	5.47	4.19	4.25	4	179.908432	90.9295349	22.9214325	1	0	2	Artem
F1507	1.3	masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	Stegomyia	aegypti	Aedes aegypti	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Preah Vihear	2019-10-23 07:00:00	2019-10-24 07:00:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1507	masked, available in supplementary info or upon request	high	Artem	2020-07-29	NEBNext	4.85	5.47	4.19	4.25	4	179.908432	90.9295349	22.9214325	1	0	2	Artem
F1519	1.3	masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	Stegomyia	albopictus	Aedes albopictus	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Preah Vihear	2019-10-21 16:30:00	2019-10-22 16:20:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1519	masked, available in supplementary info or upon request	high	Artem	2020-07-29	NEBNext	4.85	5.47	4.19	4.25	4	179.908432	90.9295349	22.9214325	1	0	2	Artem
F1575	1.3	masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Culex	Culex	quinquefasciatus	Culex quinquefasciatus	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Preah Vihear	2019-10-21 16:00:00	2019-10-22 15:55:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1575	masked, available in supplementary info or upon request	high	Artem	2020-07-29	NEBNext	4.85	5.47	4.19	4.25	4	179.908432	90.9295349	22.9214325	1	0	2	Artem
F1063	1.3	masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	stegomyia	aegypti	Aedes aegypti	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Sihanuokville	2019-10-09 06:00:00	2019-10-10 05:55:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1063	masked, available in supplementary info or upon request	high	Artem	2020-07-29	NEBNext	4.85	5.47	4.19	4.25	4	179.908432	90.9295349	22.9214325	1	0	2	Artem
F1079	1.3	masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	stegomyia	albopictus	Aedes albopictus	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Sihanuokville	2019-10-09 08:00:00	2019-10-10 07:50:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1079	masked, available in supplementary info or upon request	high	Artem	2020-07-29	NEBNext	4.85	5.47	4.19	4.25	4	179.908432	90.9295349	22.9214325	1	0	2	Artem
F1430	2.1	masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Culex	Culex	quinquefasciatus	Culex quinquefasciatus	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Kompong Thom	2019-10-15 15:06:00	2019-10-16 15:00:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1430	masked, available in supplementary info or upon request	high	Artem	2020-07-29	NEBNext	4.85	5.47	4.19	4.25	4	179.908432	90.9295349	22.9214325	1	0	2	Artem
F1543	2.1	masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Coquillettidia	Coquillettidia	crassipes	Coquillettidia crassipes	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Preah Vihear	2019-10-21 15:25:00	2019-10-22 15:20:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1543	masked, available in supplementary info or upon request	high	Artem	2020-07-29	NEBNext	4.85	5.47	4.19	4.25	4	179.908432	90.9295349	22.9214325	1	0	2	Artem
F1545	2.1	masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Coquillettidia	Coquillettidia	crassipes	Coquillettidia crassipes	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Preah Vihear	2019-10-21 15:25:00	2019-10-22 15:20:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1545	masked, available in supplementary info or upon request	high	Artem	2020-07-29	NEBNext	4.85	5.47	4.19	4.25	4	179.908432	90.9295349	22.9214325	1	0	2	Artem
F1556	2.1	masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Culex	Oculeomyia	bitaeniorhynchus	Culex bitaeniorhynchus	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Preah Vihear	2019-10-22 15:20:00	2019-10-23 15:25:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1556	masked, available in supplementary info or upon request	high	Artem	2020-07-29	NEBNext	4.85	5.47	4.19	4.25	4	179.908432	90.9295349	22.9214325	1	0	2	Artem
F1560	2.1	masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Culex	Culex	gelidus	Culex gelidus	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Preah Vihear	2019-10-22 15:55:00	2019-10-23 16:02:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1560	masked, available in supplementary info or upon request	high	Artem	2020-07-29	NEBNext	4.85	5.47	4.19	4.25	4	179.908432	90.9295349	22.9214325	1	0	2	Artem
F1582	2.1	masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Culex	Culex	quinquefasciatus	Culex quinquefasciatus	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Preah Vihear	2019-10-22 15:40:00	2019-10-23 15:45:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1582	masked, available in supplementary info or upon request	high	Artem	2020-07-29	NEBNext	4.85	5.47	4.19	4.25	4	179.908432	90.9295349	22.9214325	1	0	2	Artem
